Owner,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Variety.Simplified,Bag.Weight.Kg
juan luis alvarado romero,Guatemala,oriente,50,69 kg,Asociacion Nacional Del Café,2016,2016-03-16,Bourbon,Washed,7.5,7.5,7.33,7.5,7.67,7.5,10.0,10.0,10.0,7.5,82.5,0.1,0,2.0,green,2,1219.2,1219.2,1219.2,Foundational/Mutation,69.0
doi tung development project,Thailand,thailand,1,1 kg,Specialty Coffee Association,2014,2015-06-09,Typica,Washed,7.5,7.83,7.5,7.75,7.33,7.42,9.33,10.0,10.0,7.83,82.5,0.12,0,0.0,green,0,800.0,800.0,800.0,Foundational/Mutation,1.0
松澤宏樹 koju matsuzawa,Thailand,chiangrai,50,20 kg,Specialty Coffee Institute of Asia,2014,2015-02-15,Caturra,Washed,7.33,7.5,7.5,7.5,7.67,7.5,10.0,10.0,10.0,7.5,82.5,0.11,0,0.0,green,0,1400.0,1500.0,1450.0,Foundational/Mutation,20.0
shah plantations,Tanzania,karatu arusha,37,60 kg,Africa Fine Coffee Association,2014,2014-12-18,Other,Washed,7.67,7.42,7.33,7.58,7.5,7.5,10.0,10.0,10.0,7.5,82.5,0.12,0,0.0,green,1,1600.0,1600.0,1600.0,Other,60.0
amkeni gourmet coffee group,Tanzania,moshi,5,60 kg,Africa Fine Coffee Association,2014,2014-12-12,Other,Washed,7.75,7.0,7.42,7.58,7.58,7.58,10.0,10.0,10.0,7.58,82.5,0.12,0,0.0,green,3,1300.0,1310.64,1310.64,Other,60.0
ipanema coffees,Brazil,south of minas,69,60 kg,Specialty Coffee Association,2014,2014-01-14,Yellow Bourbon,Semi-Washed,7.42,7.5,7.67,7.33,7.42,7.67,10.0,10.0,10.0,7.5,82.5,0.11,0,0.0,green,0,1260.0,1260.0,1260.0,Foundational/Mutation,60.0
juan luis alvarado romero,Guatemala,oriente,250,69 kg,Asociacion Nacional Del Café,2013,2013-05-30,Bourbon,Washed,7.83,7.42,7.33,7.67,7.42,7.5,10.0,10.0,10.0,7.33,82.5,0.12,0,0.0,green,4,1310.64,1310.64,1310.64,Foundational/Mutation,69.0
exportadora de cafe condor s.a,Colombia,huila,250,70 kg,Almacafé,2013,2013-05-07,Caturra,Washed,7.5,7.5,7.42,7.42,7.58,7.58,10.0,10.0,10.0,7.5,82.5,0.11,0,0.0,green,1,1750.0,1750.0,1750.0,Foundational/Mutation,70.0
juan luis alvarado romero,Guatemala,oriente,250,69 kg,Asociacion Nacional Del Café,2013,2013-02-26,Bourbon,Washed,7.83,7.67,7.17,7.33,7.5,7.67,10.0,10.0,10.0,7.33,82.5,0.11,0,0.0,green,0,1310.64,1310.64,1310.64,Foundational/Mutation,69.0
saul m. hernandez ramirez,Mexico,san bartolo tutotepec,10,1 kg,AMECAFE,2012,2012-09-27,Typica,Washed,7.5,7.58,7.5,7.5,7.42,7.42,10.0,10.0,10.0,7.58,82.5,0.13,0,0.0,green,10,1679.0,1679.0,1679.0,Foundational/Mutation,1.0
