Owner,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Variety.Simplified,Bag.Weight.Kg
metad plc,Ethiopia,guji-hambela,300,60 kg,METAD Agricultural Development plc,2014,2015-04-04,Bourbon,Washed,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,0.12,0,0.0,green,0,1950.0,2200.0,2075.0,Foundational/Mutation,60.0
metad plc,Ethiopia,guji-hambela,300,60 kg,METAD Agricultural Development plc,2014,2015-04-04,Other,Washed,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,0,0.0,green,1,1950.0,2200.0,2075.0,Other,60.0
yidnekachew dabessa,Ethiopia,oromia,320,60 kg,METAD Agricultural Development plc,2014,2015-03-26,Caturra,Natural,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,0.11,0,0.0,green,2,1800.0,2200.0,2000.0,Foundational/Mutation,60.0
metad plc,Ethiopia,guji-hambela,300,60 kg,METAD Agricultural Development plc,2014,2015-04-04,Other,Washed,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,0,0.0,green,2,1950.0,2200.0,2075.0,Other,60.0
ji-ae ahn,Brazil,south of minas,100,30 kg,Specialty Coffee Institute of Asia,2013,2013-09-03,Other,Natural,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,0.11,0,0.0,green,1,1300.0,1310.64,1310.64,Other,30.0
hugo valdivia,Peru,cajamarca,100,69 kg,Specialty Coffee Institute of Asia,2012,2012-09-17,Other,Washed,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0.11,0,0.0,green,0,1300.0,1310.64,1310.64,Other,69.0
ethiopia commodity exchange,Ethiopia,oromia,300,60 kg,Ethiopia Commodity Exchange,2010,2010-09-02,Bourbon,Natural,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,0.03,0,0.0,green,0,1570.0,1700.0,1635.0,Foundational/Mutation,60.0
ethiopia commodity exchange,Ethiopia,oromiya,300,60 kg,Ethiopia Commodity Exchange,2010,2010-09-02,Caturra,Natural,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0.03,0,0.0,green,0,1570.0,1700.0,1635.0,Foundational/Mutation,60.0
diamond enterprise plc,Ethiopia,"snnp/kaffa zone,gimbowereda",50,60 kg,METAD Agricultural Development plc,2014,2015-03-30,Other,Natural,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,0,0.0,green,4,1795.0,1850.0,1822.5,Other,60.0
mohammed lalo,Ethiopia,oromia,300,60 kg,METAD Agricultural Development plc,2014,2015-03-27,Mixed: unknown variety,Natural,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0.1,0,0.0,green,1,1855.0,1955.0,1905.0,Mixed,60.0
ethiopia commodity exchange,Ethiopia,oromiya,300,60 kg,Ethiopia Commodity Exchange,2010,2010-08-31,Typica,Washed,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0.05,0,0.0,green,2,1570.0,1700.0,1635.0,Foundational/Mutation,60.0
grounds for health admin,Indonesia,sulawesi,1,"2 kg,lbs",Specialty Coffee Association,2010,2010-05-31,Caturra,Honey,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42,0.03,0,0.0,green,0,1200.0,1800.0,1500.0,Foundational/Mutation,2.0
ethiopia commodity exchange,Ethiopia,yirgacheffe,150,6,Ethiopia Commodity Exchange,2010,2010-06-16,Bourbon,Natural,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,87.33,0.05,0,0.0,green,2,1300.0,1310.64,1310.64,Foundational/Mutation,6.0
yunnan coffee exchange,China,yunnan,3,60 kg,Yunnan Coffee Exchange,2015,2016-04-07,Catimor,Washed,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0.1,0,0.0,green,0,1450.0,1450.0,1450.0,Hybrid,60.0
the coffee source inc.,Costa Rica,san ramon,250,3 lbs,Specialty Coffee Association,2014,2014-04-02,Caturra,Washed,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,0,0.0,green,2,1300.0,1300.0,1300.0,Foundational/Mutation,3.0
roberto licona franco,Mexico,xalapa,14,1 kg,AMECAFE,2012,2012-07-26,Other,Washed,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,0,0.0,green,0,1320.0,1320.0,1320.0,Other,1.0
ji-ae ahn,Ethiopia,sidamo,100,60 kg,Specialty Coffee Institute of Asia,2013,2013-09-03,Mundo Novo,Natural,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0.11,0,0.0,green,1,1300.0,1310.64,1310.64,Hybrid,60.0
nucoffee,Brazil,south of minas,3,60 kg,NUCOFFEE,2011,2011-12-03,Bourbon,Natural,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0,0.0,green,2,1250.0,1250.0,1250.0,Foundational/Mutation,60.0
ethiopia commodity exchange,Ethiopia,sidamo,150,6,Ethiopia Commodity Exchange,2010,2010-06-16,Typica,Natural,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,86.92,0.05,0,0.0,green-yellow,2,1300.0,1310.64,1310.64,Foundational/Mutation,6.0
kabum trading company,Uganda,kapchorwa eastern,100,60 kg,Uganda Coffee Development Authority,2013,2014-06-26,SL14,Washed,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,0,0.0,green,1,1950.0,1950.0,1950.0,SL-Selection,60.0
bismarck castro,Honduras,comayagua,275,69 kg,Instituto Hondureño del Café,2016,2017-05-18,Caturra,Honey,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,86.67,0.1,0,0.0,green,3,1400.0,1400.0,1400.0,Foundational/Mutation,69.0
nora zeas,Nicaragua,jinotega,275,6,Specialty Coffee Association,2012,2010-05-18,Caturra,Washed,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,86.58,0.08,0,0.0,green,2,1300.0,1310.64,1310.64,Foundational/Mutation,6.0
specialty coffee-korea,Tanzania,arusha,100,60 kg,Specialty Coffee Institute of Asia,2012,2013-09-03,Caturra,Natural,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,86.5,0.11,0,0.0,green,1,1300.0,1310.64,1310.64,Foundational/Mutation,60.0
nucoffee,Brazil,vale da grama,29,60 kg,NUCOFFEE,2011,2011-12-03,Bourbon,Natural,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0.12,0,0.0,green,2,1300.0,1300.0,1300.0,Foundational/Mutation,60.0
hider abamecha,Ethiopia,oromia,320,60 kg,METAD Agricultural Development plc,2014,2015-03-27,Other,Natural,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0.1,0,0.0,green,3,1750.0,1800.0,1775.0,Other,60.0
daniel magu,Kenya,muranga,320,1 kg,Kenya Coffee Traders Association,2013,2014-05-30,SL34,Washed,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,0,0.0,green,1,1800.0,1800.0,1800.0,SL-Selection,1.0
ethiopia commodity exchange,Ethiopia,yirgacheffe,300,6,Ethiopia Commodity Exchange,2010,2010-06-17,Arabica,Honey,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.25,0.1,0,0.0,green,2,1300.0,1310.64,1310.64,Other,6.0
itdp international,Thailand,chiang rai,53,1 kg,Specialty Coffee Association,2012,2012-04-12,Caturra,Washed,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,0.1,1,0.0,green,9,1300.0,1300.0,1300.0,Foundational/Mutation,1.0
"lin, che-hao krude 林哲豪",Taiwan,natou county,10,15 kg,Specialty Coffee Association,2015,2015-06-10,Bourbon,Semi-Washed,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0.12,0,0.0,green,0,1000.0,1000.0,1000.0,Foundational/Mutation,15.0
jungle estate,Kenya,nyeri,12,60 kg,Kenya Coffee Traders Association,2014,2015-01-29,SL28,Natural,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,green,2,1754.0,1754.0,1754.0,SL-Selection,60.0
nucoffee,Brazil,south of minas,7,60 kg,NUCOFFEE,2011,2011-12-03,Bourbon,Semi-Washed,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,green,2,1250.0,1250.0,1250.0,Foundational/Mutation,60.0
lusso lab,Colombia,tolima,1,2 kg,Specialty Coffee Association,2013,2014-03-20,Caturra,Washed,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0,0.12,1,0.0,green,1,900.0,1500.0,1200.0,Foundational/Mutation,2.0
lusso lab,Kenya,kiambu,1,1 kg,Specialty Coffee Association,2013,2014-02-06,SL28,Washed,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0,0.11,0,0.0,green,1,1520.0,2200.0,1860.0,SL-Selection,1.0
afca,Uganda,"sipi, mt elgon",1,60 kg,Africa Fine Coffee Association,2012,2012-02-13,Other,Washed,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0,0.1,0,0.0,green,0,1400.0,1900.0,1650.0,Other,60.0
ethiopia commodity exchange,Ethiopia,sidamo,300,6,Ethiopia Commodity Exchange,2010,2010-06-17,Ethiopian Heirlooms,Washed,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,86.0,0.01,0,0.0,green,4,1500.0,2000.0,1750.0,Ethiopian Heirloom,6.0
juan luis alvarado romero,Guatemala,nuevo oriente,80,69 kg,Asociacion Nacional Del Café,2016,2016-05-16,Bourbon,Washed,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92,0.1,0,1.0,green,3,1300.0,1310.64,1310.64,Foundational/Mutation,69.0
kawacom uganda ltd,Uganda,eastern,1,60 kg,Uganda Coffee Development Authority,2013,2014-06-30,SL14,Natural,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92,0.12,0,0.0,green,0,1400.0,1900.0,1650.0,SL-Selection,60.0
gonzalo hernandez,Panama,boquete,37,60 kg,Specialty Coffee Association of Costa Rica,2017,2017-10-09,Gesha,Washed,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.08,0,1.0,green,0,1600.0,1600.0,1600.0,Geisha,60.0
ibrahim hussien speciality coffee producer &export,Ethiopia,oromia,320,60 kg,METAD Agricultural Development plc,2014,2015-04-04,Caturra,Washed,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83,0.1,0,0.0,green,4,1800.0,2000.0,1900.0,Foundational/Mutation,60.0
juan luis alvarado romero,Guatemala,acatenango,150,1 kg,Asociacion Nacional Del Café,2012,2012-07-03,Bourbon,Washed,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.12,0,0.0,green,3,1524.0,1524.0,1524.0,Foundational/Mutation,1.0
juan luis alvarado romero,Guatemala,nuevo oriente,275,1 kg,Asociacion Nacional Del Café,2012,2012-06-05,Catuai,Washed,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83,0.1,0,0.0,green,1,1417.32,1417.32,1417.32,Hybrid,1.0
seid damtew coffee planataion,Ethiopia,addis ababa,320,19200 kg,METAD Agricultural Development plc,2017,2017-06-23,Caturra,Natural,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,85.75,0.09,0,4.0,green,7,1300.0,1310.64,1310.64,Foundational/Mutation,19200.0
dane loraas,Peru,cajamarca,280,5 lbs,Specialty Coffee Association,2013,2014-01-22,Other,Washed,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75,0.1,4,0.0,green,6,1300.0,1310.64,1310.64,Other,5.0
"colbran coffeelands, ltd.",Papua New Guinea,eastern highlands province,7,60 kg,Specialty Coffee Association,2012,2012-10-25,Blue Mountain,Washed,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,0.12,0,0.0,green,1,1700.0,1700.0,1700.0,Specialty Regional,60.0
atlantic specialty coffee,El Salvador,apaneca,275,2 kg,Specialty Coffee Association,2013,2013-03-18,Bourbon,Washed,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58,0.1,0,0.0,green,3,1500.0,1500.0,1500.0,Foundational/Mutation,2.0
lusso lab,El Salvador,"ataco, apaneca - ilamatepec mountain range",19,1 kg,Specialty Coffee Association,2012,2013-01-12,Bourbon,Semi-Washed,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,0,0.0,green,0,1300.0,1400.0,1350.0,Foundational/Mutation,1.0
essencecoffee,Panama,boquete,100,60 kg,Blossom Valley International,2014,2015-05-23,Caturra,Natural,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5,0.09,2,0.0,green,2,1680.0,1680.0,1680.0,Foundational/Mutation,60.0
essencecoffee,Kenya,kirinyaga,16,60 kg,Blossom Valley International,2014,2015-05-23,SL28,Natural,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5,0.1,0,0.0,green,3,1900.0,1900.0,1900.0,SL-Selection,60.0
assefa belay coffee producer,Ethiopia,oromia,320,60 kg,METAD Agricultural Development plc,2015,2015-03-31,Other,Natural,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5,0.12,0,0.0,green,7,1800.0,2000.0,1900.0,Other,60.0
kyagalanyi ltd,Uganda,bulambuli eastern region,320,60 kg,Uganda Coffee Development Authority,2013,2014-06-26,SL14,Washed,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,0.12,0,0.0,green,1,1600.0,1600.0,1600.0,SL-Selection,60.0
juan luis alvarado romero,Guatemala,huehuetenango,250,69 kg,Asociacion Nacional Del Café,2013,2013-02-26,Bourbon,Washed,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,0.11,0,0.0,green,1,1706.88,1755.648,1731.264,Foundational/Mutation,69.0
assefa belay coffee producer,Ethiopia,oromia,320,60 kg,METAD Agricultural Development plc,2015,2015-03-31,Catuai,Washed,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,0.1,0,0.0,green,18,1800.0,2000.0,1900.0,Hybrid,60.0
great lakes coffee uganda,Uganda,kapchorwa,150,60 kg,Uganda Coffee Development Authority,2013,2014-06-26,SL14,Washed,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,85.42,0.12,0,0.0,green,5,1950.0,1950.0,1950.0,SL-Selection,60.0
nucoffee,Brazil,south of minas,5,60 kg,NUCOFFEE,2011,2011-12-03,Bourbon,Semi-Washed,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42,0.11,0,0.0,green,1,1250.0,1250.0,1250.0,Foundational/Mutation,60.0
grounds for health admin,El Salvador,apaneca,2,"1 kg,lbs",Specialty Coffee Association,2010,2010-05-31,Other,Natural,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,85.42,0.01,0,0.0,green,0,1400.0,1400.0,1400.0,Other,1.0
yunnan coffee exchange,China,yunnan,3,60 kg,Yunnan Coffee Exchange,2015,2016-04-06,Catimor,Natural,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33,0.1,0,0.0,green,0,1700.0,1700.0,1700.0,Hybrid,60.0
essencecoffee,Guatemala,huehuetenango,36,30 kg,Blossom Valley International,2014,2015-05-23,Pacamara,Natural,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,0.11,0,0.0,green,1,1770.0,1770.0,1770.0,Hybrid,30.0
the coffee source inc.,Costa Rica,san ramon,250,3 lbs,Specialty Coffee Association,2014,2014-05-01,Caturra,Washed,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33,0.1,0,0.0,green,2,1300.0,1300.0,1300.0,Foundational/Mutation,3.0
ethiopia commodity exchange,Ethiopia,yirgacheffe,360,6 kg,Ethiopia Commodity Exchange,2010,2010-06-17,Catuai,Washed,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,8.08,85.33,0.05,0,0.0,green,2,1300.0,1310.64,1310.64,Hybrid,6.0
ethiopia commodity exchange,Ethiopia,yirgacheffe,300,6,Ethiopia Commodity Exchange,2010,2010-06-17,Typica,Washed,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,8.0,85.33,0.1,0,0.0,green,3,1300.0,1310.64,1310.64,Foundational/Mutation,6.0
juan luis alvarado romero,Guatemala,oriente,250,69 kg,Asociacion Nacional Del Café,2016,2016-04-27,Bourbon,Washed,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.25,0.1,0,2.0,green,2,1300.0,1310.64,1310.64,Foundational/Mutation,69.0
exportadora de cafe condor s.a,Colombia,santander,275,70 kg,Almacafé,2015,2015-04-08,Caturra,Washed,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.25,0.11,0,0.0,green,0,1550.0,1550.0,1550.0,Foundational/Mutation,70.0
compañia colombiana agroindustrial s.a,Colombia,santander,250,70 kg,Almacafé,2014,2014-01-17,Caturra,Natural,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25,0.12,0,0.0,green,2,1550.0,1550.0,1550.0,Foundational/Mutation,70.0
"nomura trading co., ltd.",Indonesia,lintong,54,60 kg,Specialty Coffee Association,2012,2012-11-26,Sumatra Lintong,Semi-Washed,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,85.17,0.11,0,0.0,green,3,1250.0,1400.0,1325.0,Specialty Regional,60.0
seid damtew coffee planataion,Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",320,19200 kg,METAD Agricultural Development plc,2016,2016-08-09,Other,Natural,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,85.08,0.11,0,1.0,green,8,1300.0,1310.64,1310.64,Other,19200.0
steven kil,Ethiopia,aricha,100,60 kg,Specialty Coffee Association,2014,2014-10-07,Bourbon,Natural,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,85.08,0.1,2,0.0,green,7,1700.0,1700.0,1700.0,Foundational/Mutation,60.0
eileen koyanagi,Hawaii,kona,12,100 lbs,Specialty Coffee Association,2014,2014-03-10,Hawaiian Kona,Natural,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,85.08,0.11,2,0.0,green,2,1300.0,1310.64,1310.64,Specialty Regional,100.0
carcafe ltda ci,Colombia,cundinamarca,250,70 kg,Almacafé,2012,2012-03-16,Caturra,Natural,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,85.08,0.11,0,0.0,green,8,2136.0,2136.0,2136.0,Foundational/Mutation,70.0
kona pacific farmers cooperative,Hawaii,kona,13,100 lbs,Specialty Coffee Association,2011,2010-12-27,Other,Washed,8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,8.17,85.08,0.01,1,0.0,green,7,1300.0,1310.64,1310.64,Other,100.0
kyagalanyi coffee ltd,Uganda,eastern uganda,200,60 kg,Uganda Coffee Development Authority,2016,2017-07-24,SL14,Washed,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8.0,85.0,0.11,0,0.0,green,1,1800.0,1800.0,1800.0,SL-Selection,60.0
troy quimby,Costa Rica,tarrazu,36,46 kg,Specialty Coffee Association,2016,2017-01-30,Catuai,Washed,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,85.0,0.12,1,1.0,green,1,1900.0,1900.0,1900.0,Hybrid,46.0
"el equimite, cafetal biodinámico",Mexico,veracruz,1,30 kg,Centro Agroecológico del Café A.C.,2015,2016-09-21,Typica,Washed,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,8.08,85.0,0.09,0,0.0,green,3,1300.0,1300.0,1300.0,Foundational/Mutation,30.0
nucoffee,Brazil,grama valley,31,60 kg,NUCOFFEE,2012,2012-02-29,Mundo Novo,Natural,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8.0,85.0,0.12,0,0.0,green,3,1100.0,1100.0,1100.0,Hybrid,60.0
carl walker,Guatemala,"chuva, san marcos",275,69 kg,Specialty Coffee Association,2010,2010-09-07,Gesha,Washed,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,8.0,85.0,0.04,0,0.0,green,1,1066.8,1584.96,1325.88,Geisha,69.0
racafe & cia s.c.a,Colombia,huila,252,70 kg,Almacafé,2015,2015-10-26,Caturra,Washed,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,7.83,84.92,0.12,0,0.0,green,1,1600.0,1950.0,1775.0,Foundational/Mutation,70.0
"lin, che-hao krude 林哲豪",Taiwan,natou county,20,40 kg,Specialty Coffee Association,2015,2015-06-09,Typica,Semi-Washed,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,7.92,84.92,0.11,0,0.0,green,0,800.0,800.0,800.0,Foundational/Mutation,40.0
taylor winch (t) ltd,Tanzania,mbeya,134,60 kg,Africa Fine Coffee Association,2014,2014-12-12,Other,Washed,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.83,84.92,0.12,0,0.0,green,2,1620.0,1620.0,1620.0,Other,60.0
racafe & cia s.c.a,Colombia,huila,50,70 kg,Almacafé,2012,2012-12-11,Caturra,Washed,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,84.92,0.11,0,0.0,green,3,1600.0,1950.0,1775.0,Foundational/Mutation,70.0
artemio zapata tejeda,Mexico,coatepec,25,1 kg,AMECAFE,2012,2012-07-11,Typica,Semi-Washed,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,8.17,84.92,0.11,0,0.0,green,0,1200.0,1200.0,1200.0,Foundational/Mutation,1.0
nucoffee,Brazil,south of minas,4,60 kg,NUCOFFEE,2011,2011-12-23,Bourbon,Natural,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,84.92,0.11,0,0.0,green,2,1200.0,1200.0,1200.0,Foundational/Mutation,60.0
nucoffee,Brazil,south of minas,10,60 kg,NUCOFFEE,2011,2011-12-03,Catuai,Natural,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.92,84.92,0.12,0,0.0,green,2,1000.0,1000.0,1000.0,Hybrid,60.0
brian speckman,Kenya,MT KENYA,320,60 kg,Specialty Coffee Association,2010,2010-08-26,Catuai,Semi-Washed,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,10.0,7.58,84.92,0.06,1,0.0,green,9,1300.0,1310.64,1310.64,Hybrid,60.0
kawacom uganda ltd,Uganda,eastern,1,60 kg,Uganda Coffee Development Authority,2013,2014-06-30,SL14,Natural,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,7.83,84.83,0.12,0,0.0,green,1,1400.0,1900.0,1650.0,SL-Selection,60.0
ethiopia commodity exchange,Ethiopia,sidamo,300,6,Ethiopia Commodity Exchange,2010,2010-06-17,Other,Washed,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,10.0,8.0,84.83,0.1,0,0.0,green,2,1500.0,2000.0,1750.0,Other,6.0
philip schluter,Ethiopia,sidamo,300,6,Ethiopia Commodity Exchange,2010,2010-06-17,Bourbon,Washed,7.42,7.92,7.92,8.0,7.83,7.83,10.0,10.0,10.0,7.92,84.83,0.1,0,0.0,green,4,1500.0,2000.0,1750.0,Foundational/Mutation,6.0
松澤宏樹 koju matsuzawa,Thailand,thailand,50,50 kg,Specialty Coffee Institute of Asia,2015,2016-06-27,Caturra,Honey,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,8.0,84.75,0.12,0,0.0,green,0,1300.0,1310.64,1310.64,Foundational/Mutation,50.0
lydiah mwangi,Kenya,nyeri,150,60 kg,Kenya Coffee Traders Association,2014,2015-06-02,SL34,Washed,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,7.92,84.75,0.13,0,0.0,green,0,1800.0,1800.0,1800.0,SL-Selection,60.0
cadexsa,Honduras,marcala,275,1 kg,Instituto Hondureño del Café,2014,2014-04-25,Catuai,Washed,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,8.17,84.75,0.11,0,0.0,green,4,1450.0,1450.0,1450.0,Hybrid,1.0
the coffee source inc.,El Salvador,santa ana,250,69 kg,Specialty Coffee Association,2011,2011-08-23,Bourbon,Honey,7.75,8.0,8.0,8.33,7.67,7.92,10.0,10.0,9.33,7.75,84.75,0.15,0,0.0,green,3,1200.0,1200.0,1200.0,Foundational/Mutation,69.0
grounds for health admin,Nicaragua,jinotega,2,6,Specialty Coffee Association,2010,2010-05-31,Ethiopian Heirlooms,Washed,7.83,7.58,7.58,7.83,7.75,7.67,10.0,10.0,10.0,8.5,84.75,0.18,0,0.0,green,2,800.0,1050.0,925.0,Ethiopian Heirloom,6.0
sanjava coffee,Indonesia,"temanggung, indonesia",2,1 kg,Specialty Coffee Association of Indonesia,2016,2016-11-24,Java,Washed,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,84.67,0.12,0,0.0,green,7,1200.0,1200.0,1200.0,Foundational/Mutation,1.0
松澤宏樹 koju matsuzawa,Japan,ada okinawa japan,20,1 kg,Specialty Coffee Institute of Asia,2012,2016-11-02,Mundo Novo,Honey,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,8.08,84.67,0.12,0,0.0,green,0,170.0,170.0,170.0,Hybrid,1.0
rodrigo soto,Costa Rica,tarrazu,15,69 kg,Specialty Coffee Association of Costa Rica,2015,2016-10-04,Catuai,Washed,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,7.92,84.67,0.1,0,0.0,green,2,1150.0,1150.0,1150.0,Hybrid,69.0
juan luis alvarado romero,Guatemala,acatenango,120,34 kg,Asociacion Nacional Del Café,2015,2016-06-01,Bourbon,Washed,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,7.83,84.67,0.1,0,0.0,green,1,1600.0,1600.0,1600.0,Foundational/Mutation,34.0
fabian calderon mora,Costa Rica,tarrazu,50,1 lbs,Specialty Coffee Association of Costa Rica,2014,2015-07-06,Caturra,Washed,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,10.0,7.92,84.67,0.12,0,0.0,green,0,1750.0,1750.0,1750.0,Foundational/Mutation,1.0
